Fecha,num_atascos
2024-04-08 07:57:00,8
2024-04-08 08:27:00,5
2024-04-08 08:57:00,8
2024-04-08 09:27:00,8
2024-04-08 09:57:00,6
2024-04-08 10:27:00,11
2024-04-08 10:57:00,9
2024-04-08 11:27:00,9
2024-04-08 11:57:00,8
2024-04-08 12:27:00,11
2024-04-08 12:57:00,2
2024-04-08 13:27:00,12
2024-04-08 13:57:00,9
2024-04-08 14:27:00,15
2024-04-08 14:57:00,16
2024-04-08 15:27:00,15
2024-04-08 15:57:00,15
2024-04-08 16:27:00,13
2024-04-08 16:57:00,11
2024-04-08 17:27:00,24
2024-04-08 17:57:00,21
2024-04-08 18:27:00,18
2024-04-08 18:57:00,9
2024-04-08 19:27:00,8
2024-04-08 19:57:00,5
2024-04-08 20:27:00,4
2024-04-08 20:57:00,2
2024-04-08 21:27:00,1
2024-04-08 21:57:00,1
2024-04-08 22:27:00,1
2024-04-09 01:27:00,2
2024-04-09 02:27:00,2
2024-04-09 06:27:00,2
2024-04-09 06:57:00,7
2024-04-09 07:27:00,7
2024-04-09 07:57:00,10
2024-04-09 08:27:00,8
2024-04-09 08:57:00,7
2024-04-09 09:27:00,5
2024-04-09 09:57:00,10
2024-04-09 10:27:00,5
2024-04-09 10:57:00,10
2024-04-09 11:27:00,10
2024-04-09 11:57:00,9
2024-04-09 12:27:00,8
2024-04-09 12:57:00,3
2024-04-09 13:27:00,5
2024-04-09 13:57:00,9
2024-04-09 14:27:00,15
2024-04-09 14:57:00,13
2024-04-09 15:27:00,8
2024-04-09 15:57:00,10
2024-04-09 16:27:00,14
2024-04-09 16:57:00,19
2024-04-09 17:27:00,15
2024-04-09 17:57:00,17
2024-04-09 18:27:00,12
2024-04-09 18:57:00,12
2024-04-09 19:27:00,2
2024-04-09 19:57:00,2
2024-04-09 20:27:00,1
2024-04-09 20:57:00,4
2024-04-09 21:27:00,5
2024-04-09 21:57:00,5
2024-04-09 22:27:00,2
2024-04-09 22:57:00,2
2024-04-09 23:27:00,2
2024-04-09 23:57:00,2
2024-04-10 00:27:00,3
2024-04-10 00:57:00,3
2024-04-10 01:27:00,3
2024-04-10 01:57:00,2
2024-04-10 02:27:00,2
2024-04-10 02:57:00,2
2024-04-10 03:27:00,2
2024-04-10 03:57:00,2
2024-04-10 04:27:00,2
2024-04-10 04:57:00,3
2024-04-10 05:27:00,3
2024-04-10 05:57:00,2
2024-04-10 06:27:00,3
2024-04-10 06:57:00,7
2024-04-10 07:27:00,3
2024-04-10 07:57:00,5
2024-04-10 08:27:00,6
2024-04-10 08:57:00,8
2024-04-10 09:27:00,7
2024-04-10 09:57:00,7
2024-04-10 10:27:00,6
2024-04-10 10:57:00,12
2024-04-10 11:27:00,8
2024-04-10 11:57:00,11
2024-04-10 12:27:00,15
2024-04-10 12:57:00,6
2024-04-10 13:27:00,9
2024-04-10 13:57:00,11
2024-04-10 14:27:00,10
2024-04-10 14:57:00,13
2024-04-10 15:27:00,14
2024-04-10 15:57:00,10
2024-04-10 16:27:00,9
2024-04-10 16:57:00,15
2024-04-10 17:27:00,21
2024-04-10 17:57:00,21
2024-04-10 18:27:00,26
2024-04-10 18:57:00,15
2024-04-10 19:27:00,9
2024-04-10 19:57:00,6
2024-04-10 20:27:00,4
2024-04-10 20:57:00,4
2024-04-10 21:27:00,5
2024-04-10 21:57:00,2
2024-04-10 22:27:00,2
2024-04-10 22:57:00,2
2024-04-10 23:27:00,4
2024-04-10 23:57:00,3
2024-04-11 00:27:00,3
2024-04-11 00:57:00,2
2024-04-11 01:28:00,2
2024-04-11 01:57:00,2
2024-04-11 02:27:00,2
2024-04-11 02:57:00,2
2024-04-11 03:27:00,2
2024-04-11 03:57:00,2
2024-04-11 04:27:00,2
2024-04-11 04:57:00,2
2024-04-11 05:27:00,2
2024-04-11 05:57:00,2
2024-04-11 06:27:00,5
2024-04-11 06:57:00,11
2024-04-11 07:27:00,6
2024-04-11 07:57:00,9
2024-04-11 08:27:00,2
2024-04-11 08:57:00,9
2024-04-11 09:27:00,9
